date,open,high,low,close,volume
20231123,69.0225,69.4,68.6375,69.025,-1
20231124,68.8275,69.2675,68.5,68.83,-1
20231127,68.4675,68.65,68.34,68.4875,-1
20231128,68.3375,68.675,68.05,68.3275,-1
20231129,68.4125,68.7225,68.0925,68.4025,-1
20231130,68.4675,68.91,68.08,68.445,-1
20231201,68.58,69.0,68.2875,68.6075,-1
20231204,68.64,68.805,68.405,68.61,-1
20231205,68.8225,69.0,68.3825,68.5925,-1
20231206,69.075,69.28,68.825,69.07,-1
20231207,68.865,69.2675,68.64,68.855,-1
20231208,69.37,69.7475,69.0,69.35,-1
20231211,69.61,70.0,69.3975,69.5825,-1
20231212,69.9725,70.3,69.73,69.945,-1
20231213,70.5275,71.0,70.2575,70.5175,-1
20231214,70.44,71.16,69.77,70.4475,-1
20231215,70.2825,70.555,70.0425,70.29,-1
20231218,70.71,71.0675,70.455,70.73,-1
20231219,70.735,70.9775,70.5175,70.745,-1
20231220,71.29,71.54,71.1,71.285,-1
20231221,70.805,71.055,70.57,70.835,-1
20231222,70.76,70.93,70.55,70.69,-1
20231227,71.025,71.5,70.5975,71.0325,-1
20231228,71.025,71.305,70.7825,71.0225,-1
20231229,71.29,71.5325,71.15,71.325,-1
20240102,71.075,71.455,70.91,71.1,-1
20240103,70.95,71.15,70.55,70.9275,-1
20240104,70.3675,70.74,70.04,70.36,-1
20240105,70.0475,71.15,69.76,70.05,-1
20240108,70.0425,70.36,69.8675,70.0675,-1
20240109,70.6775,70.93,70.455,70.6825,-1
20240110,70.8925,71.1675,70.7375,70.9175,-1
20240111,71.16,71.44,70.605,71.1925,-1
20240112,71.0125,71.405,70.7675,71.03,-1
20240115,71.165,71.2725,71.0525,71.1625,-1
20240116,71.4075,72.2125,71.14,71.3975,-1
20240117,70.9525,71.4425,70.83,70.975,-1
20240118,71.045,71.6175,70.76,71.0375,-1
20240119,71.745,71.96,71.5,71.7575,-1
20240122,72.4125,72.6,72.165,72.4125,-1
20240123,72.4025,72.7925,72.16,72.415,-1
20240124,72.7125,73.03,72.505,72.7,-1
20240125,72.705,73.2,72.4925,72.725,-1
20240126,72.8375,73.1975,72.6825,72.8225,-1
20240129,73.06,73.325,72.9075,73.075,-1
20240130,73.64,74.11,73.47,73.6575,-1
20240131,73.16,73.5,72.63,73.1775,-1
20240201,72.8525,73.245,72.46,72.8875,-1
20240202,73.5025,74.4275,73.21,73.5275,-1
20240205,74.5775,75.2,74.1825,74.5975,-1
20240206,74.6375,74.805,74.355,74.655,-1
20240207,74.55,75.1375,74.32,74.53,-1
20240208,75.0825,75.35,74.94,75.065,-1
20240209,75.25,75.6025,75.0425,75.235,-1
20240212,75.5625,75.885,75.3475,75.54,-1
20240213,74.895,75.39,74.4775,74.8825,-1
20240214,75.1875,75.4925,74.905,75.1725,-1
20240215,75.6625,75.8575,75.38,75.645,-1
20240216,75.8925,76.1,75.51,75.885,-1
20240219,75.405,75.59,75.2125,75.415,-1
20240220,75.02,75.375,74.43,75.0025,-1
20240221,74.7225,74.9875,74.5,74.7075,-1
20240222,75.7175,76.505,75.1,75.6725,-1
20240223,76.2125,76.57,76.035,76.23,-1
20240226,76.13,76.3,76.0,76.1475,-1
20240227,75.9575,76.1225,75.7475,75.9,-1
20240228,76.07,76.3725,75.87,76.055,-1
20240229,76.0325,76.46,75.715,75.995,-1
20240301,76.615,77.075,76.385,76.61,-1
20240304,76.8825,77.015,76.7,76.83,-1
20240305,76.4375,76.9625,75.81,76.4325,-1
20240306,76.1275,76.535,75.95,76.1125,-1
20240307,76.2375,77.0,75.8,76.265,-1
20240308,76.35,77.5,76.0,76.35,-1
20240311,75.6875,75.94,75.4,75.67,-1
20240312,76.4325,77.5,75.87,76.4325,-1
20240313,76.825,77.0,76.59,76.8125,-1
20240314,76.58,77.0,76.1625,76.6075,-1
20240315,76.485,76.9075,75.79,76.46,-1
20240318,76.61,77.0,76.215,76.6375,-1
20240319,76.725,77.0,76.28,76.71,-1
20240320,77.24,77.7,76.95,77.23,-1
20240321,78.1075,79.0,77.555,78.1375,-1
20240322,78.8,79.095,78.555,78.8225,-1
20240325,78.335,78.7275,78.1275,78.3525,-1
20240326,78.415,78.65,78.3025,78.4375,-1
20240327,78.435,78.7275,78.2,78.4575,-1
20240328,78.8025,79.0,78.5,78.8275,-1
20240402,78.7275,80.165,78.0575,78.7275,-1
20240403,78.3675,78.91,78.25,78.3875,-1
20240404,78.4025,78.71,78.195,78.38,-1
20240405,77.5875,79.5,77.26,77.6225,-1
20240408,78.0875,78.3275,77.8575,78.105,-1
20240409,77.775,78.03,77.115,77.7975,-1
20240410,77.795,78.28,77.115,77.8225,-1
20240411,77.8525,78.15,77.5,77.8725,-1
20240412,78.645,78.8875,78.2,78.6725,-1
20240415,78.23,78.69,78.0,78.2575,-1
20240416,77.0325,77.58,76.7625,77.06,-1
20240417,77.005,77.3375,76.57,77.025,-1
20240418,76.5775,77.6125,76.275,76.6075,-1
20240419,76.1125,76.6075,75.89,76.1425,-1
20240422,76.655,77.0725,76.3075,76.64,-1
20240423,76.9675,77.3,76.6425,76.985,-1
20240424,77.3925,77.6975,77.05,77.4125,-1
20240425,76.2675,76.865,75.8,76.295,-1
20240426,77.1475,78.4425,76.845,77.1775,-1
20240429,77.32,77.58,77.0925,77.3375,-1
20240430,77.21,77.5,76.9,77.2275,-1
20240501,76.2225,76.66,76.03,76.245,-1
20240502,76.4775,77.0075,76.1,76.5,-1
20240503,76.89,77.7,76.64,76.915,-1
20240507,78.36,78.725,78.2675,78.3425,-1
20240508,78.7025,78.925,78.4675,78.7175,-1
20240509,78.725,78.9975,78.56,78.705,-1
20240510,79.1625,79.3,78.9875,79.175,-1
20240513,79.08,79.235,78.84,79.0525,-1
20240514,78.9075,79.21,78.59,78.93,-1
20240515,79.0225,79.5,78.785,79.045,-1
20240516,79.6,79.82,79.48,79.615,-1
20240517,79.3725,79.6375,79.0,79.39,-1
20240520,79.3725,79.605,79.1775,79.395,-1
20240521,79.2475,79.52,79.13,79.2625,-1
20240522,79.275,79.48,79.1325,79.2925,-1
20240523,79.525,79.75,79.1125,79.545,-1
20240524,78.8525,79.135,78.71,78.835,-1
20240528,78.895,79.3075,78.7,78.9175,-1
20240529,78.6025,78.85,78.41,78.5875,-1
20240530,78.375,78.755,78.1,78.3575,-1
20240531,78.0725,78.6525,77.555,78.0325,-1
20240603,78.8725,79.13,77.9825,78.8325,-1
20240604,78.275,78.83,78.0325,78.295,-1
20240605,78.8475,79.3,78.5225,78.8325,-1
20240606,79.555,79.8,79.2,79.58,-1
20240607,79.62,80.135,79.2,79.605,-1
20240610,79.7625,79.9575,79.62,79.7825,-1
20240611,79.805,80.1075,79.5,79.8225,-1
20240612,80.2125,82.1,80.0,80.2175,-1
20240613,80.465,82.05,80.265,80.4825,-1
20240614,80.785,81.545,80.4375,80.8075,-1
20240617,81.21,81.5475,81.0275,81.225,-1
20240618,81.77,82.25,81.5875,81.7925,-1
20240619,81.765,81.9475,81.66,81.785,-1
20240620,82.2025,82.7425,82.0025,82.2275,-1
20240621,81.965,82.325,81.75,81.985,-1
20240624,81.8675,85.0,81.5475,81.955,-1
20240625,81.535,81.745,81.315,81.555,-1
20240626,81.94,82.195,81.705,81.9625,-1
20240627,82.0425,82.2525,81.7575,82.065,-1
20240628,82.5025,82.9025,82.115,82.52,-1
20240701,81.8275,82.0,81.4525,81.8475,-1
20240702,81.8025,82.0,81.5425,81.795,-1
20240703,82.145,82.49,81.8,82.1775,-1
20240704,82.2825,82.4125,82.1375,82.2975,-1
20240705,82.105,82.5,81.91,82.1225,-1
20240708,82.3125,82.43,82.2,82.305,-1
20240709,82.655,82.85,82.515,82.6775,-1
20240710,82.685,82.8125,82.5,82.7,-1
20240711,82.7675,83.8,82.08,82.7875,-1
20240712,81.94,83.2,81.5,81.975,-1
20240715,82.375,82.755,82.2225,82.395,-1
20240716,82.525,82.95,82.1075,82.5425,-1
20240717,81.7825,82.405,81.5,81.8025,-1
20240718,81.76,82.1775,81.055,81.78,-1
20240719,81.38,81.6075,80.9,81.36,-1
20240722,81.2325,81.7025,80.95,81.25,-1
20240723,81.715,82.165,81.38,81.7375,-1
20240724,80.855,81.395,80.1475,80.875,-1
20240725,79.9075,80.445,79.46,79.9325,-1
20240726,80.245,80.6575,79.92,80.2475,-1
20240729,80.9025,81.23,80.4025,80.8875,-1
20240730,80.755,81.2,80.2,80.775,-1
20240731,81.1925,81.7625,80.82,81.215,-1
20240801,82.0775,82.6,81.115,82.105,-1
20240802,79.795,80.76,78.4,79.825,-1
20240805,77.0475,77.8125,75.65,77.09,-1
20240806,78.0475,78.8075,77.61,78.0875,-1
20240807,78.99,79.5875,78.5,79.025,-1
20240808,78.025,79.1325,77.32,78.0575,-1
20240809,79.195,79.48,78.9225,79.22,-1
20240812,79.545,79.7425,79.08,79.565,-1
20240813,79.6,79.94,79.33,79.6225,-1
20240814,80.2825,80.65,79.9,80.31,-1
20240815,80.97,81.9125,80.4,80.995,-1
20240816,81.53,81.96,81.0575,81.5525,-1
20240819,81.38,81.645,81.115,81.4025,-1
20240820,81.8175,82.0825,81.3975,81.84,-1
20240821,81.6075,81.9275,81.255,81.6275,-1
20240822,81.485,82.0,81.2,81.5075,-1
20240823,81.005,81.355,80.395,81.0325,-1
20240827,80.65,80.935,80.27,80.665,-1
20240828,80.7525,81.045,80.2875,80.74,-1
20240829,80.8325,81.54,80.215,80.825,-1
20240830,80.9725,81.6125,80.7525,80.9375,-1
20240902,81.51,81.715,81.26,81.5275,-1
20240903,81.295,81.815,80.6,81.295,-1
20240904,79.8075,80.85,79.5,79.81,-1
20240905,79.64,80.075,79.2,79.6725,-1
20240906,78.8825,80.0,78.27,78.875,-1
20240909,79.045,79.5,78.725,79.07,-1
20240910,79.4775,79.95,79.1475,79.4975,-1
20240911,79.505,80.2,78.9,79.55,-1
20240912,80.72,81.0,80.28,80.7525,-1
20240913,80.9075,81.25,80.6,80.89,-1
20240916,80.765,81.0175,80.45,80.785,-1
20240917,81.095,81.515,80.8475,81.1175,-1
20240918,80.8575,81.41,80.48,80.88,-1
20240919,81.4975,81.9725,81.16,81.5225,-1
20240920,81.2525,81.7875,81.0,81.2825,-1
20240923,81.32,81.9425,81.0,81.3425,-1
20240924,81.105,81.42,80.61,81.1275,-1
20240925,81.155,81.4,80.8325,81.1725,-1
20240926,81.6925,82.0,80.9275,81.725,-1
20240927,81.3475,81.7225,81.155,81.37,-1
20240930,81.0675,81.33,80.785,81.0875,-1
20241001,81.7,82.0,81.025,81.7375,-1
20241002,81.3125,81.9,81.05,81.3425,-1
20241003,82.2775,82.7,81.7725,82.3075,-1
20241004,82.4625,83.42,82.0,82.5,-1
20241007,82.995,83.245,82.7675,83.015,-1
20241008,82.76,83.385,82.4475,82.785,-1
20241009,83.3275,84.24,83.105,83.355,-1
20241010,83.89,84.24,83.6075,83.9175,-1
20241011,83.9225,84.435,83.675,83.945,-1
20241014,84.665,90.0,84.3125,84.785,-1
20241015,84.9175,85.2625,84.5,84.9375,-1
20241016,84.8,85.0,84.5,84.8125,-1
20241017,85.535,86.1575,85.2,85.5625,-1
20241018,85.095,85.46,84.8,85.115,-1
20241021,85.235,85.54,85.0,85.2525,-1
20241022,85.2325,85.535,85.05,85.235,-1
20241023,85.3675,85.66,85.0,85.3725,-1
20241024,85.115,85.6775,84.8,85.1375,-1
20241025,85.1725,85.85,84.97,85.2,-1
20241028,85.2775,85.54,85.005,85.2625,-1
20241029,85.0475,85.3,84.7,85.0575,-1
20241030,85.26,85.58,84.925,85.2825,-1
20241031,84.3725,84.8775,84.11,84.4075,-1
20241101,84.13,84.45,83.67,84.155,-1
20241104,83.865,84.1825,83.5,83.8425,-1
20241105,83.7075,84.21,83.4,83.6875,-1
20241106,86.9725,87.4675,86.44,86.9725,-1
20241107,87.13,87.6025,86.87,87.12,-1
20241108,87.57,88.1025,87.24,87.5975,-1
20241111,88.575,88.8125,88.39,88.5975,-1
20241112,88.845,89.235,88.62,88.8675,-1
20241113,89.0925,89.52,88.8,89.07,-1
20241114,89.695,90.2275,89.0725,89.675,-1
20241115,88.62,89.1625,87.6425,88.615,-1
20241118,88.355,88.63,88.01,88.3775,-1
20241119,88.1975,88.63,87.6,88.225,-1
20241120,88.635,88.98,87.8425,88.6725,-1
20241121,88.88,89.52,88.3825,88.92,-1
